index,CO_ITEM,SG_AREA,TP_LINGUA,IN_ITEM_ABAN,model,is_human,model_probs,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,answer,correct_prob
50,141574,CN,portuguese,0.0,GPT4,False,"[9.99898988e-01 9.56987110e-07 9.99900010e-05 4.76455350e-08
 1.72560692e-08]",0.69982,1.45358,0.03441,E,1.7256069210036167e-08
51,18228,CN,portuguese,0.0,GPT4,False,"[5.26176158e-09 9.99700124e-05 9.99700124e-05 9.99700085e-01
 9.99700124e-05]",1.95358,1.46498,0.11246,A,5.2617615777755226e-09
52,111668,CN,portuguese,0.0,GPT4,False,[0.4698158  0.13046315 0.18687983 0.20524734 0.00759387],1.98964,1.87763,0.19415,B,0.13046315017754234
53,111694,CN,portuguese,0.0,GPT4,False,"[9.99798620e-01 9.76055924e-05 2.16873681e-07 1.02289783e-04
 1.26767535e-06]",2.07884,2.23408,0.17191,D,0.00010228978257482657
54,85588,MT,portuguese,0.0,GPT4,False,"[2.87366906e-07 9.99994303e-01 2.27325933e-07 4.93698360e-06
 2.45797940e-07]",2.30031,0.46698,0.25799,E,2.4579794007825053e-07
55,8020,MT,portuguese,0.0,GPT4,False,"[1.38176846e-04 1.31849267e-04 4.94760429e-03 4.74093035e-01
 5.20689335e-01]",2.19733,2.65319,0.11011,B,0.00013184926745873538
57,117886,MT,portuguese,0.0,GPT4,False,[0.00866351 0.49571212 0.48046066 0.01406227 0.00110144],0.4443,6.27505,0.1251,E,0.001101441806420116
58,67229,LC,portuguese,0.0,GPT4,False,"[9.97663294e-01 5.96629326e-04 4.39003075e-05 1.22420389e-03
 4.71972644e-04]",2.64295,1.76932,0.18786,A,0.9976632938332278
59,95676,MT,portuguese,0.0,GPT4,False,"[2.30829915e-01 3.69420817e-04 3.36361482e-04 5.74581089e-02
 7.11006194e-01]",1.32325,0.64802,0.18728,E,0.7110061937231301
60,19807,MT,portuguese,0.0,GPT4,False,[0.00059756 0.1907054  0.41653894 0.39130212 0.00085597],4.1583,2.56697,0.06542,B,0.1907054043183345
61,96315,MT,portuguese,0.0,GPT4,False,"[2.06173762e-04 7.30949458e-04 1.05303254e-04 9.37146085e-01
 6.18114880e-02]",1.69166,0.87454,0.20606,D,0.9371460854892424
62,117742,MT,portuguese,0.0,GPT4,False,[0.00387775 0.00990217 0.9488534  0.02820867 0.00915801],0.65574,2.58862,0.1651,A,0.0038777461408290212
63,30327,MT,portuguese,0.0,GPT4,False,"[2.99373001e-06 2.61195745e-04 4.29991064e-01 5.69645608e-01
 9.91387224e-05]",2.81078,0.63977,0.16335,D,0.5696456078776929
64,14797,MT,portuguese,0.0,GPT4,False,[0.00104106 0.00627839 0.01003284 0.84840978 0.13423793],2.93886,2.57768,0.12028,D,0.8484097760118435
65,10322,MT,portuguese,0.0,GPT4,False,[0.76168238 0.15965729 0.04869273 0.02907576 0.00089184],1.53551,0.94716,0.1917,A,0.761682384238232
66,63204,MT,portuguese,0.0,GPT4,False,"[2.40017880e-02 5.99969204e-01 3.63899717e-01 6.04313981e-05
 1.20688593e-02]",3.78296,1.88956,0.14444,B,0.5999692040941089
67,68123,MT,portuguese,0.0,GPT4,False,"[9.99679219e-01 2.09859976e-04 1.05524223e-04 2.25960615e-06
 3.13715246e-06]",2.18973,1.32978,0.04601,C,0.00010552422309157126
68,32369,MT,portuguese,0.0,GPT4,False,"[9.60429095e-01 3.60941227e-02 1.48978266e-03 9.46963476e-04
 1.04003591e-03]",3.12341,2.40384,0.16659,C,0.0014897826619555891
69,96502,LC,portuguese,0.0,GPT4,False,"[3.21826942e-05 9.99701287e-05 9.99667907e-01 9.99701287e-05
 9.99701287e-05]",1.14926,-0.51604,0.00912,C,0.9996679069196487
70,117877,MT,portuguese,0.0,GPT4,False,"[9.78980132e-01 1.90870728e-02 1.04368873e-03 8.78874023e-04
 1.02319642e-05]",2.65709,1.6446,0.20086,B,0.01908707280916825
71,82581,MT,portuguese,0.0,GPT4,False,[0.00159311 0.00446799 0.01584041 0.94985989 0.02823859],1.90672,2.301,0.10655,C,0.01584041419057142
72,86438,MT,portuguese,0.0,GPT4,False,[0.05486813 0.80628114 0.09046225 0.02287244 0.02551605],1.8176,2.0354,0.15996,C,0.0904622453597684
73,68369,MT,portuguese,0.0,GPT4,False,[0.51284108 0.10418998 0.02553285 0.24993877 0.10749732],2.57245,1.58603,0.10176,A,0.5128410795917171
74,10992,MT,portuguese,0.0,GPT4,False,"[4.58264334e-04 9.99436017e-01 3.08776388e-06 2.64110441e-06
 9.99900618e-05]",2.08101,2.784,0.08,B,0.9994360167359227
75,28683,MT,portuguese,0.0,GPT4,False,[0.35544227 0.28560589 0.02827881 0.32363387 0.00703915],3.13149,2.33341,0.21903,B,0.28560589009334425
76,111516,MT,portuguese,0.0,GPT4,False,[0.05919524 0.32000644 0.39825445 0.20661169 0.01593218],1.82335,1.38103,0.13879,A,0.0591952394053442
78,53461,MT,portuguese,0.0,GPT4,False,[0.02964777 0.0885119  0.00074222 0.71829982 0.1627983 ],2.67778,2.3731,0.20523,D,0.718299816589813
79,85013,MT,portuguese,0.0,GPT4,False,[0.06919409 0.0382126  0.06602546 0.45830746 0.36826039],2.17147,2.5423,0.1841,B,0.03821260401944596
80,141410,LC,portuguese,0.0,GPT4,False,"[3.65311671e-08 9.99899965e-01 2.95217089e-09 5.34569087e-09
 9.99900010e-05]",2.62079,0.2007,0.10693,A,3.653116705104267e-08
82,86466,MT,portuguese,0.0,GPT4,False,"[3.67225276e-03 9.86886879e-01 9.37742594e-03 5.15697667e-05
 1.18720344e-05]",2.96283,2.44795,0.21497,D,5.156976671562806e-05
83,43182,MT,portuguese,0.0,GPT4,False,"[1.20493380e-06 5.65078713e-03 4.63844854e-04 1.28611322e-01
 8.65272841e-01]",2.19381,1.56693,0.1302,A,1.2049338017568237e-06
84,47309,MT,portuguese,0.0,GPT4,False,"[1.31303503e-01 8.42932099e-01 2.42887057e-02 6.57464872e-04
 8.18228254e-04]",0.92146,2.16924,0.15718,E,0.0008182282536203112
85,30053,MT,portuguese,0.0,GPT4,False,"[9.48594754e-05 1.47540307e-02 1.19733281e-01 8.31113669e-01
 3.43041594e-02]",1.73381,2.02109,0.14967,A,9.485947544853487e-05
86,85228,MT,portuguese,0.0,GPT4,False,[0.01025888 0.49430081 0.09433896 0.38496186 0.01613949],2.1343,3.73781,0.24053,E,0.016139489885149468
87,61248,MT,portuguese,0.0,GPT4,False,[0.02570005 0.4213095  0.09548725 0.44848163 0.00902157],2.61757,2.2515,0.1851,A,0.025700045605445445
88,111738,MT,portuguese,0.0,GPT4,False,"[9.53911979e-01 4.60312863e-02 3.07096391e-05 1.72265463e-05
 8.79845890e-06]",2.64614,2.2135,0.24887,B,0.04603128629093725
89,85343,MT,portuguese,0.0,GPT4,False,[0.17819297 0.09840749 0.06658584 0.40156406 0.25524965],2.13479,3.22198,0.12748,C,0.06658583542316512
90,117651,MT,portuguese,0.0,GPT4,False,"[2.91571158e-05 1.09411335e-03 1.33290293e-02 6.62614977e-01
 3.22932723e-01]",0.51115,2.58401,0.0088,B,0.0010941133545447107
91,120626,LC,portuguese,0.0,GPT4,False,"[1.25337199e-04 9.99872770e-01 1.39237051e-06 4.59155060e-07
 4.13940841e-08]",0.82491,0.89707,0.03562,A,0.00012533719887717614
92,95509,MT,portuguese,0.0,GPT4,False,[0.00666516 0.14934647 0.19785193 0.35826357 0.28787286],2.27997,2.41531,0.11329,E,0.28787286445385807
93,117820,MT,portuguese,0.0,GPT4,False,[0.00217327 0.05966415 0.29367729 0.37708908 0.26739621],0.48694,4.48651,0.14739,D,0.37708907881056125
94,86499,MT,portuguese,0.0,GPT4,False,[0.03662463 0.16672503 0.24258349 0.31148337 0.24258349],2.93676,3.33565,0.21207,E,0.24258348899685006
95,68538,MT,portuguese,0.0,GPT4,False,[0.01994143 0.09220825 0.00733604 0.79655771 0.08395657],1.92137,2.35816,0.16134,C,0.007336043139371624
96,75829,MT,portuguese,0.0,GPT4,False,[0.13446268 0.49958947 0.09387008 0.23233068 0.03974709],1.18017,1.92189,0.16856,A,0.13446268109055315
97,117973,MT,portuguese,0.0,GPT4,False,"[7.60425148e-01 2.17865463e-01 1.17282766e-02 9.42393502e-03
 5.57177027e-04]",1.87291,2.86025,0.18347,D,0.009423935022640056
98,10500,MT,portuguese,0.0,GPT4,False,[0.03060797 0.31894234 0.24075031 0.38471789 0.02498149],1.57712,3.30111,0.16855,C,0.24075030684483928
100,97590,MT,portuguese,0.0,GPT4,False,"[1.46225615e-04 1.40117247e-02 3.32807633e-03 9.82297866e-01
 2.16107450e-04]",2.33252,2.40899,0.14217,C,0.003328076325836395
101,86840,MT,portuguese,0.0,GPT4,False,[0.61220607 0.08030397 0.12437722 0.17000348 0.01310926],0.24441,4.65334,0.03228,C,0.12437721881446981
102,111929,LC,portuguese,0.0,GPT4,False,"[9.99884541e-01 6.04825633e-06 7.57028045e-07 8.66372718e-06
 9.99900176e-05]",2.15283,1.51639,0.20049,A,0.9998845409708121
103,30493,MT,portuguese,0.0,GPT4,False,[0.00390329 0.07598766 0.11407099 0.8042787  0.00175935],0.80375,2.27556,0.12859,B,0.07598766056067277
104,118120,LC,portuguese,0.0,GPT4,False,"[9.99663698e-01 2.37798599e-04 3.01058432e-07 2.12266865e-06
 9.60793192e-05]",1.53331,2.16698,0.23705,C,3.010584317887133e-07
105,66576,LC,portuguese,0.0,GPT4,False,"[9.99799946e-01 8.36123324e-08 9.99800046e-05 1.04653105e-08
 9.99800046e-05]",2.66065,-0.7431,0.13295,E,9.998000458613349e-05
106,60382,LC,portuguese,0.0,GPT4,False,"[2.44644562e-04 5.25277089e-01 4.36125955e-04 2.48123303e-01
 2.25918838e-01]",1.77346,0.68047,0.08704,A,0.00024464456209529183
107,141440,LC,portuguese,0.0,GPT4,False,"[2.65719181e-07 9.99800141e-05 9.99800141e-05 7.61298962e-08
 9.99799698e-01]",2.72306,0.13273,0.20082,C,9.998001408277825e-05
108,49544,LC,portuguese,0.0,GPT4,False,"[2.11228202e-04 2.04518665e-04 7.92508965e-01 2.06839035e-01
 2.36252626e-04]",2.43974,1.15872,0.12513,B,0.00020451866474669624
109,41810,LC,portuguese,0.0,GPT4,False,"[9.99799639e-01 3.76870310e-08 9.99800115e-05 3.63195054e-07
 9.99800115e-05]",0.92958,0.15096,0.01173,C,9.998001149266254e-05
110,42674,LC,portuguese,0.0,GPT4,False,"[1.43674869e-06 9.99997688e-01 1.85538607e-07 5.12288521e-07
 1.77042176e-07]",2.26956,0.51892,0.2337,A,1.4367486874368797e-06
111,141390,LC,portuguese,0.0,GPT4,False,"[9.99896725e-01 8.71344213e-07 9.99900010e-05 1.53801390e-07
 2.26009492e-06]",1.54579,-0.30477,0.00839,C,9.999000099990002e-05
112,120368,LC,portuguese,0.0,GPT4,False,"[1.47276199e-05 1.73169316e-06 9.99214584e-01 7.67278345e-04
 1.67841456e-06]",3.46434,2.20555,0.0675,C,0.9992145839277422
113,54528,LC,portuguese,0.0,GPT4,False,"[9.99899468e-01 1.51417365e-07 3.01129388e-07 8.90137660e-08
 9.99900010e-05]",2.90825,2.05309,0.10359,C,3.011293877810179e-07
114,78112,LC,portuguese,0.0,GPT4,False,"[9.72728414e-01 6.26347520e-06 2.18287934e-02 2.91278648e-06
 5.43361629e-03]",0.76335,0.46065,0.00865,E,0.005433616291512908
115,81994,LC,portuguese,0.0,GPT4,False,"[6.98243357e-05 3.14722938e-05 2.35857550e-01 7.08172786e-02
 6.93223875e-01]",0.91022,0.76591,0.01172,D,0.07081727862053741
116,141261,LC,portuguese,0.0,GPT4,False,"[2.82884867e-07 9.99900010e-05 2.71476635e-08 2.91864597e-07
 9.99899408e-01]",2.31367,0.48334,0.18144,E,0.9998994081018727
117,140827,LC,portuguese,0.0,GPT4,False,"[5.59998376e-06 9.70206224e-01 1.04621470e-05 2.97590628e-02
 1.86507936e-05]",2.05337,0.67994,0.17382,D,0.029759062849466077
118,39101,LC,portuguese,0.0,GPT4,False,"[1.06140129e-05 9.99800047e-05 9.99800047e-05 3.43140494e-08
 9.99789392e-01]",2.07003,1.19098,0.13567,A,1.0614012862210968e-05
119,9716,LC,portuguese,0.0,GPT4,False,"[9.99886674e-01 7.41049810e-06 9.99900010e-05 5.04290724e-07
 5.42163623e-06]",0.9036,1.48142,0.05685,D,5.042907244689558e-07
120,111954,LC,portuguese,0.0,GPT4,False,"[5.71461997e-07 5.56213826e-05 3.04139930e-06 9.99932368e-01
 8.39757275e-06]",0.78612,1.19878,0.06459,B,5.562138257157142e-05
121,26545,LC,portuguese,0.0,GPT4,False,"[1.83410496e-05 7.97898237e-08 9.99881355e-01 2.34515568e-07
 9.99900049e-05]",4.15101,1.348,0.0928,D,2.3451556804436444e-07
122,89149,LC,portuguese,0.0,GPT4,False,"[9.95818373e-01 4.06968264e-03 9.99901657e-05 1.00877307e-05
 1.86604254e-06]",1.05565,0.45772,0.03348,B,0.004069682637846033
123,6864,LC,portuguese,0.0,GPT4,False,"[1.12523927e-07 9.98706635e-09 9.99900010e-05 9.99899872e-01
 1.54682709e-08]",0.57225,0.0979,0.01556,E,1.546827093288593e-08
124,10776,LC,portuguese,0.0,GPT4,False,"[1.26780074e-06 9.99898677e-01 9.99900010e-05 5.83765332e-08
 6.75757421e-09]",1.35922,-0.10494,0.00701,E,6.757574206516939e-09
125,90238,LC,portuguese,0.0,GPT4,False,"[1.94112926e-04 9.13077134e-07 2.41941355e-07 9.99804490e-01
 2.41941355e-07]",1.32058,0.69547,0.07827,D,0.9998044901141154
126,120622,LC,portuguese,0.0,GPT4,False,"[3.37858147e-08 9.99899411e-01 9.99900071e-05 1.16760651e-08
 5.53861709e-07]",2.558,0.65099,0.12178,D,1.1676065142867096e-08
127,42940,LC,portuguese,0.0,GPT4,False,"[2.71503728e-08 7.77871206e-09 1.40854279e-08 9.99999942e-01
 8.95324270e-09]",1.30734,-0.29879,0.00797,A,2.715037284261501e-08
128,111926,LC,portuguese,0.0,GPT4,False,"[3.72634015e-06 9.99915654e-01 9.72073909e-07 1.20976553e-06
 7.84374554e-05]",2.48072,0.89717,0.27108,C,9.720739085320805e-07
129,44570,LC,portuguese,0.0,GPT4,False,"[9.99699982e-01 9.99700686e-05 9.99700686e-05 9.99700686e-05
 1.07349473e-07]",1.04632,0.65812,0.23788,C,9.997006859144126e-05
130,86703,LC,portuguese,0.0,GPT4,False,"[9.99862382e-01 2.68383737e-06 9.99900721e-05 1.40032971e-07
 3.48045326e-05]",2.08922,0.96392,0.23742,C,9.999007210742228e-05
131,96291,CH,portuguese,0.0,GPT4,False,"[4.28872720e-06 3.32104638e-05 9.99855100e-01 9.99901612e-05
 7.41025610e-06]",2.9037,1.66082,0.10307,A,4.288727203505202e-06
132,140572,CH,portuguese,0.0,GPT4,False,"[1.00855750e-07 9.99799923e-01 9.99800409e-05 9.99800409e-05
 1.59576969e-08]",2.46583,0.73772,0.17053,B,0.9997999231047864
133,96516,CH,portuguese,0.0,GPT4,False,"[4.46382263e-05 9.74988500e-05 8.84012199e-07 1.15123503e-03
 9.98705744e-01]",1.96743,2.20588,0.08863,C,8.840121990574608e-07
134,140190,CH,portuguese,0.0,GPT4,False,"[1.27519063e-07 1.72578286e-08 9.99999720e-01 2.93565553e-08
 1.05717017e-07]",1.94428,0.27387,0.14788,D,2.93565552807265e-08
135,111984,CH,portuguese,0.0,GPT4,False,"[9.99799557e-01 4.05173398e-07 9.99800093e-05 7.73287736e-08
 9.99800093e-05]",1.90716,1.36087,0.22521,C,9.998000931288331e-05
136,140643,CH,portuguese,0.0,GPT4,False,"[2.55002899e-08 9.99800011e-01 9.99801043e-05 3.50543570e-09
 9.99801043e-05]",2.21197,1.4236,0.21778,B,0.9998000107857532
137,141072,CH,portuguese,0.0,GPT4,False,"[8.76249659e-08 9.99799949e-01 9.99800041e-05 3.34491391e-09
 9.99800041e-05]",2.78275,0.64418,0.18557,D,3.3449139099906397e-09
138,111893,CH,portuguese,0.0,GPT4,False,"[4.01216358e-08 9.99900010e-05 9.99899915e-01 4.76456215e-08
 6.75758603e-09]",0.56617,1.5801,0.03472,A,4.012163584875023e-08
139,125944,CH,portuguese,0.0,GPT4,False,"[1.83708615e-08 8.41079328e-09 4.86779370e-09 9.99999959e-01
 9.68076373e-09]",1.69059,0.29126,0.1166,C,4.867793700921244e-09
140,67980,CH,portuguese,0.0,GPT4,False,"[1.12981022e-05 2.84034258e-05 2.09874507e-04 9.99749032e-01
 1.39219935e-06]",4.03907,1.33056,0.05942,D,0.9997490317658194
141,140378,CH,portuguese,0.0,GPT4,False,"[9.99799951e-01 8.10398512e-08 9.99800060e-05 8.02403190e-09
 9.99800060e-05]",2.1636,0.57483,0.15916,A,0.9997999509241473
142,95823,CH,portuguese,0.0,GPT4,False,"[9.72055411e-07 1.62788647e-06 9.99896864e-01 5.45273667e-07
 9.99908539e-05]",1.30094,0.82448,0.0937,E,9.999085386616017e-05
143,95739,CH,portuguese,0.0,GPT4,False,"[9.99800051e-05 8.67604527e-09 2.35839363e-08 9.99800008e-01
 9.99800051e-05]",4.24795,0.96273,0.16049,A,9.998000514831519e-05
144,118110,CH,portuguese,0.0,GPT4,False,"[1.76031824e-06 1.71592914e-07 9.99983530e-01 1.45104577e-05
 2.75774633e-08]",2.22329,1.79851,0.25237,C,0.9999835300536476
145,140721,CH,portuguese,0.0,GPT4,False,"[1.42243169e-07 2.15659971e-06 9.99900010e-05 1.46758452e-07
 9.99897564e-01]",0.81842,0.92559,0.02544,E,0.9998975643976638
146,140441,CH,portuguese,0.0,GPT4,False,"[3.88872241e-08 9.99900010e-05 1.36506995e-08 9.99899944e-01
 1.32307117e-08]",1.76207,1.31972,0.21908,E,1.3230711663374593e-08
147,140550,CH,portuguese,0.0,GPT4,False,"[9.99700068e-01 2.18094036e-08 9.99700428e-05 9.99700428e-05
 9.99700428e-05]",3.5293,0.41127,0.19018,C,9.997004276394554e-05
148,97262,CH,portuguese,0.0,GPT4,False,"[9.99799839e-01 1.71561371e-07 9.99800146e-05 2.98128960e-08
 9.99800146e-05]",1.46058,-0.44013,0.20483,A,0.9997998385965996
149,44230,CH,portuguese,0.0,GPT4,False,"[9.99700059e-01 9.99704212e-05 9.99704212e-05 2.93477521e-08
 9.99704212e-05]",2.73837,0.8616,0.21624,B,9.997042121696405e-05
